Location Name: Corporation Water,,
Date,Time,Totalizer
02-06-2025,02:00:00,530883.8
02-06-2025,02:05:00,530888.01
02-06-2025,02:10:00,530892.83
02-06-2025,02:15:00,530897.34
02-06-2025,02:20:00,530901.96
02-06-2025,02:25:00,530906.57
02-06-2025,02:30:00,530910.74
02-06-2025,02:35:00,530915.35
02-06-2025,02:40:00,530919.97
02-06-2025,02:45:00,530924.92
02-06-2025,02:50:00,530929.16
02-06-2025,02:55:00,530933.67
02-06-2025,03:00:00,530938.5
02-06-2025,03:05:00,530942.79
02-06-2025,03:10:00,530947.47
02-06-2025,03:15:00,530952.11
02-06-2025,03:20:00,530957.04
02-06-2025,03:25:00,530961.59
02-06-2025,03:30:00,530966.65
02-06-2025,03:35:00,530971.33
02-06-2025,03:40:00,530975.7
02-06-2025,03:45:00,530980.1
02-06-2025,03:50:00,530984.54
02-06-2025,03:55:00,530988.98
02-06-2025,04:00:00,530993.67
02-06-2025,04:05:00,530998.61
02-06-2025,04:10:00,531002.88
02-06-2025,04:15:00,531007.13
02-06-2025,04:20:00,531011.83
02-06-2025,04:25:00,531016.38
02-06-2025,04:30:00,531021.44
02-06-2025,04:35:00,531026.14
02-06-2025,04:40:00,531030.52
02-06-2025,04:45:00,531030.91
02-06-2025,04:50:00,531031.61
02-06-2025,04:55:00,531032.15
02-06-2025,05:00:00,531033
02-06-2025,05:05:00,531033.77
02-06-2025,05:10:00,531034.25
02-06-2025,05:15:00,531035.44
02-06-2025,05:20:00,531035.92
02-06-2025,05:25:00,531036.66
02-06-2025,05:30:00,531037.03
02-06-2025,05:35:00,531037.5
02-06-2025,05:40:00,531037.97
02-06-2025,05:45:00,531038.78
02-06-2025,05:50:00,531039.92
02-06-2025,05:55:00,531040.41
02-06-2025,06:00:00,531040.88
02-06-2025,06:05:00,531041.43
02-06-2025,06:10:00,531041.81
02-06-2025,06:15:00,531042.89
02-06-2025,06:20:00,531044.05
02-06-2025,06:25:00,531045.09
02-06-2025,06:30:00,531045.62
02-06-2025,06:35:00,531046.34
02-06-2025,06:40:00,531047.26
02-06-2025,06:45:00,531047.84
02-06-2025,06:50:00,531048.44
02-06-2025,06:55:00,531048.74
02-06-2025,07:00:00,531049.78
02-06-2025,07:05:00,531050.94
02-06-2025,07:10:00,531051.78
02-06-2025,07:15:00,531052.34
02-06-2025,07:20:00,531052.72
02-06-2025,07:25:00,531053.06
02-06-2025,07:30:00,531053.75
02-06-2025,07:35:00,531054.73
02-06-2025,07:40:00,531055.47
02-06-2025,07:45:00,531056.2
02-06-2025,07:50:00,531056.87
02-06-2025,07:55:00,531057.97
02-06-2025,08:00:00,531058.35
02-06-2025,08:05:00,531059.38
02-06-2025,08:10:00,531060.17
02-06-2025,08:15:00,531060.59
02-06-2025,08:20:00,531060.89
02-06-2025,08:25:00,531061.43
02-06-2025,08:30:00,531062.38
02-06-2025,08:35:00,531063.07
02-06-2025,08:40:00,531063.62
02-06-2025,08:45:00,531064.35
02-06-2025,08:50:00,531065.42
02-06-2025,08:55:00,531066.17
02-06-2025,09:00:00,531067.04
02-06-2025,09:05:00,531067.73
02-06-2025,09:10:00,531068.63
02-06-2025,09:15:00,531069.78
02-06-2025,09:20:00,531070.88
02-06-2025,09:25:00,531071.7
02-06-2025,09:30:00,531072.31
02-06-2025,09:35:00,531073.26
02-06-2025,09:40:00,531074.65
02-06-2025,09:45:00,531075.82
02-06-2025,09:50:00,531077.03
02-06-2025,09:55:00,531077.93
02-06-2025,10:00:00,531078.49
02-06-2025,10:05:00,531079.67
02-06-2025,10:10:00,531080.94
02-06-2025,10:15:00,531081.57
02-06-2025,10:20:00,531082.47
02-06-2025,10:25:00,531083.93
02-06-2025,10:30:00,531084.54
02-06-2025,10:35:00,531085.08
02-06-2025,10:40:00,531085.81
02-06-2025,10:45:00,531087.21
02-06-2025,10:50:00,531088.4
02-06-2025,10:55:00,531089.6
02-06-2025,11:00:00,531090.28
02-06-2025,11:05:00,531090.79
02-06-2025,11:10:00,531091.9
02-06-2025,11:15:00,531093.05
02-06-2025,11:20:00,531094.22
02-06-2025,11:25:00,531094.22
02-06-2025,11:30:00,531094.74
